region,town,country,town_country,business name,physical address,phone number
nyanza,Busia,",Kenya","Busia, Kenya",Yako Supermarket,Along Kisumu- Busia Highway,0725 999 910
nyanza,Busia,",Kenya","Busia, Kenya",Yasin Supermarket,"Malaba Highway,Opposite Cooperative Bank",0722 141 587
nyanza,"Chebera Centre,Sondu",",Kenya","Chebera Centre,Sondu, Kenya",Kodhiambo Bei Nafuu Shop,Along Sondu-Oyugis road,0726 241 112
nyanza,Chemelil,",Kenya","Chemelil, Kenya",Bismillahi Shop,Chemelili Round About,0728 609 043
nyanza,"Chuthber, Kisumu",",Kenya","Chuthber, Kisumu, Kenya",Ebenezer Shop,Opposite Bondo Stage Kisian- Bondo Road,0726 064 285
nyanza,"Dudi, Kisumu",",Kenya","Dudi, Kisumu, Kenya",Faith Electrical Shop,At Dudi Shopping Centre Along Kisumu-Busia Road,0720 591 519
nyanza,Dunga Beach,",Kenya","Dunga Beach, Kenya",Ecofinder Kenya,"C/O Dunga Wetland Pedagogical Centre, Dunga Beach",0726 701 042
nyanza,Funyula,",Kenya","Funyula, Kenya",Rowes Shop,Opposite Zaire Complex,0716 828 789
nyanza,Gesima Market,",Kenya","Gesima Market, Kenya",Gesima Hardware,"At Gesima Market,after KerokaTown",0723 592 313
nyanza,Homabay,",Kenya","Homabay, Kenya",Jadwinda Grocery,Next to Homabay District General Hospital,0721 486 647
nyanza,Homabay,",Kenya","Homabay, Kenya",Mayian Communications Limited Homabay,At the Main Stage,0711 503 997
nyanza,Homabay,",Kenya","Homabay, Kenya",Oranga Butchery,"Opposite Priyu Hardware,Next to Shivling Supermarket",0720 102 128
nyanza,Kadongo,",Kenya","Kadongo, Kenya",The Weizmanns Investments,"Along Kisumu-Kisii road,Kisumu Stage,Next to Alfa Bakery Building.",0725 109 468
nyanza,Kandiege,",Kenya","Kandiege, Kenya",Goodheart Investments,"Kandiege Shopping Centre,0ff Homabay-Kisumu rd",0726 553 146
nyanza,Kedowa,",Kenya","Kedowa, Kenya",Kevis Farm Input Supplies,"Nemaus Building, Next To Juhudi Building",0721 130 022
nyanza,Kendu Bay,",Kenya","Kendu Bay, Kenya",Njasho Electronicskitale,Main Stage Opposite Nyamira Booking Office,0725 120 880
nyanza,Kendu Bay,",Kenya","Kendu Bay, Kenya",Santa Eagle Enterprise,"Opposite Roman Green Restraurant,Along Old town road,at the Kendu Bay Junction",0725 772 732
nyanza,Keroka,",Kenya","Keroka, Kenya",Aberdare Comm,Opposite Kerira Primary School/SDA Keroka Central Church,0711 726 060
nyanza,Kilingili,",Kenya","Kilingili, Kenya",Farmers Centre & Agrovet,Opposite Kilingili Police Station,0722 692 475
nyanza,Kisii,",Kenya","Kisii, Kenya",Mochoni Shop,"Along Nyangusu-Nyacheki-Masimba-Keroka Rd,Lower side of the market,Next to Farm Input Shop",0723 281 106
nyanza,Kisii,",Kenya","Kisii, Kenya",Safaricom Retail Centre,"Opposite Falcon Petrol Station, Hospital Road",0705 981 094
nyanza,Kisii,",Kenya","Kisii, Kenya",Salen Logistics,Along Kisii - Kisumu Highway Opposite Fennados Inn(2)Next Bima Poshomill,0710 830 667
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Kadimo Electonics,Opposite Kisumu Boys,0721 780 819
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Ndege Fashions,"Along Apidi Road,New Garissa Market",0722 239 270
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Migosi Shop,"Next to Migingo Home Pub,off Kisumu-Bondo road, Ndere National Park Junction.",0712 086 441
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Imani Uwezo,"Behind Ukwala Supermarket CBD Kisumu, Opposite Kemfed Hotel, near Kisumu Sportsground",0721 429 854
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Titanic Caretakers,"Along Karume Road, Next To Mundu Bar",0700 476 559
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Capital Real Time,"Omonyola market,Adjacent to Capital Mpesa,Near Cherwa Secondary School,0ff Kisumu-Sondu road",0725 912 018
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Kich Construction Ltd,"Gatito Shopping Centre, Opposite Katito Market On Ahero to Kisii Highway",0729 577 107
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Powernetworks Ltd Kisumu,"Along Accra Street,Oppossite Anvi Emprium",0710 958 400
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Happy Go,"Mwananchi Center, Jomo Kenyatta Highway",0770 652 678
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Witoks Investment,At Bus Park,0721 515 287
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Safaricom Retail Centre,"Oginga Odinga Street, Opposite Standard Chartered Bank",0705 848 884
nyanza,Kisumu,",Kenya","Kisumu, Kenya",Safaricom Retail Centre,Oginga Odinga Street At Nakumatt Mega Building,0727-631 397
nyanza,"Kisumu,Nyalenda",",Kenya","Kisumu,Nyalenda, Kenya",Genesis Shop,"Nyalenda,Next to Ka Water",0721 410 423
nyanza,Kobala,",Kenya","Kobala, Kenya",Ufanisi Foundation Development Initiative,Along Katito - Kendubay Road,0712 972 237
nyanza,Kombewa,",Kenya","Kombewa, Kenya",Dic Dic Agrovet,"Kombewa Market, Cosmos Bar Building",0720 206 586
nyanza,Luanda,",Kenya","Luanda, Kenya",Segis Chemist,Past Maseno University At Luanda Shopping Centre Main Stage,0720 715 844
nyanza,Lunyanyiro,",Kenya","Lunyanyiro, Kenya",Star Mobile-Lung'anyiro,Along Busia - Mumias Road,0724 247 755
nyanza,"Magunga,Guasi",",Kenya","Magunga,Guasi, Kenya",Falcon Computers,Magunga Trading Centre Near Webs Pub,0720 427 989
nyanza,Marindi,",Kenya","Marindi, Kenya",Marindi General Hardware,"Along Rodikopany-Homabay rd,Next to Joyland Bar and Restaurant",0728 677 883
nyanza,Mbale,",Kenya","Mbale, Kenya",Concept Technologies,"Along Majengo - Luanda Route, Near Vihiga primary School",0717 733 395
nyanza,Mbita,",Kenya","Mbita, Kenya",Mama Franc Salon,Naruesa House,0720 328 815
nyanza,Mbita,",Kenya","Mbita, Kenya",Mama Milka Shop,Next to the 2nd Market gate,0725 200 526
nyanza,Mbita,",Kenya","Mbita, Kenya",Mudambo Shop,Keta Seluler Service Opposite Safina Petrol Station,0720 721 171
nyanza,Migori,",Kenya","Migori, Kenya",Ramogi Media,Opposite Migori Primary Along Migori - Isbania Highway,0720 470 098
nyanza,"Migori,Kiancha",",Kenya","Migori,Kiancha, Kenya",Sunderlander Communication,Next to Post office,0707 818 368
nyanza,Migori,",Kenya","Migori, Kenya",Jobo Electronics,"Along Kisii Migori Highway, Near St. Pius Uriri High School",0720 325 918
nyanza,Migori,",Kenya","Migori, Kenya",Lanta Pharmacy,Next To Bahati Hospital,0725 872 284
nyanza,Migori,",Kenya","Migori, Kenya",Bob Stores,"Bande Centre,Along Giribe road,Next to Olando Chips Camp",0708 488 909
nyanza,Miwani,",Kenya","Miwani, Kenya",Make Me Smile Children's Home,"Along Kisumu-Miwani-Chemelil Rd,At the BQ estate",0725 643 867
nyanza,Mumias,",Kenya","Mumias, Kenya",Mumias Phone & Accessories,"Phonex Electronics, Mumias Opposite Cooperative Bank",0713 579 835
nyanza,Mumias,",Kenya","Mumias, Kenya",Caneb Enterprise,Next To Barclays Bank,0728 113 133
nyanza,Mumias,",Kenya","Mumias, Kenya",Gem-stone Electricals and Services,"Shianda, Kakamega - Mumias Road.",0727 349 510
nyanza,Namanga,",Kenya","Namanga, Kenya",Admido Agencies Ltd,After The Police Station,0724 928 435
nyanza,Nambale,",Kenya","Nambale, Kenya",Shechinah Home Systems Limited,Along Busia Mumias Road - Opposite Nambale New Market,0725 209 906
nyanza,Nambale,",Kenya","Nambale, Kenya",Zach's Shop,"Opposite DC's Office, Mumias- Busia Road",0729 390 390
nyanza,Ndenda Highlands,",Kenya","Ndenda Highlands, Kenya",George Luya Shop,Ndenda Beach Shopping Centre,0723 384 630
nyanza,Nyadorera,",Kenya","Nyadorera, Kenya",Mama Linda Shop Nyadorera,"Nyadorera market along Siaya-Ruambua Rd, Mama Linda Filling station",0727 608 693
nyanza,Nyangande,",Kenya","Nyangande, Kenya",Dominc Wauga Foundation,Along Ahero - Rabuor Road Korowe Market Junction,0728 102 281
nyanza,Obambo Market,",Kenya","Obambo Market, Kenya",Iro Agencies,Opposite Obambo Secondary School,0722 144 662
nyanza,Oyugis,",Kenya","Oyugis, Kenya",Kwan International,Opposite Nyamira Stage,0724 969 288
nyanza,Oyugis,",Kenya","Oyugis, Kenya",Baraka,Along Kisii - Kisumu Highway Opposite Guardian Angels Booking Offices,0724 911 519
nyanza,Pala,",Kenya","Pala, Kenya",Blessed Enterprise,"After Ndhiwa Town,Opposite DO's office",0720 721 171
nyanza,Port Victoria,",Kenya","Port Victoria, Kenya",Tyra Ventures,"Next To Port Victoria District Hospital, Marenge Beach Road After Bumala Town",0718 897 789
nyanza,Rangwe,",Kenya","Rangwe, Kenya",Longcheeze Enterprises,"Rangwe Market,Opposite Odeon Butchery",0729 458 430
nyanza,Rodi Kopany,",Kenya","Rodi Kopany, Kenya",Techa Agrovet,"Rodi Kopany Market Centre,Along Ndhiwa rd",0702 113 759
nyanza,Rongo,",Kenya","Rongo, Kenya",Farmland Agrovet,"Rongo Shopping centre, Opposite KCB Bank",0722 762 687
nyanza,Rongo,",Kenya","Rongo, Kenya",Belmira Communication,Opposite Senator Lounge,0700 228 484
nyanza,Rongo,",Kenya","Rongo, Kenya",Ramogi - Rongo,Opposite Rongo University,0722 399 762
nyanza,Rongo,",Kenya","Rongo, Kenya",M-communications,Next to Nelson Junior Hotel,0723 232 308
nyanza,Rongo,",Kenya","Rongo, Kenya",Liwatoni shop,"Next to Rongo Law Courts,Opposite KCB Bank",0726 855 167
nyanza,Siaya,",Kenya","Siaya, Kenya",Four Winds Communication,Next To Post Bank,0715 251 147
nyanza,Siaya,",Kenya","Siaya, Kenya",Mc' Ojema Kiosk,"Along Siaya-Hawinga Rd,Opposite Misori Kaugagi Primary School",0727 783 218
nyanza,Siaya,",Kenya","Siaya, Kenya",Electro - Point Shop,"Next To Caltex Petrol Station, Opposite Mbukinya Booking Office",0720 109 539
nyanza,Sindo,",Kenya","Sindo, Kenya",Neema Books and Stationery-Sindo,Opp Community Bank,0712 242 144
nyanza,"Sisenye, Busia",",Kenya","Sisenye, Busia, Kenya",Bamboo Communication,Along Bumala Port Road at Sisenye Market,0722 284 000
nyanza,Sondu,",Kenya","Sondu, Kenya",Sajjels Communications,"Along Kisii-Kisumu Highway,Oppossite Sondu Mosque",0720 651 609
nyanza,Tigoi,",Kenya","Tigoi, Kenya",Riyadh Communication,Kisumu - Kakamega Road,0720 442 067
nyanza,Sondu,",Kenya","Sondu, Kenya",Computer Services,Opposite Sondu Hadware,0728 270 999
nyanza,Isebania,",Kenya","Isebania, Kenya",Bonga Shop,"Opposite KCB Bank, Along Kisii-Isebania Highway",0724 427 918
nyanza,Isebania,",Kenya","Isebania, Kenya",Winners Favours Sirare,Next To Easycoach Offices,0728 812 268
nyanza,Ugunja,",Kenya","Ugunja, Kenya",Froma Agrovet,"Along Ugunja - Ukwala Road, Opposite Pick and Pay Supermarket",0721 292 736
nyanza,"Usenge,Siaya",",Kenya","Usenge,Siaya, Kenya",Mama Happy Shop,Usenge Main Stage,0711 184 503
nyanza,Uyoma,",Kenya","Uyoma, Kenya",Manuar shop,At Luanda Kotieno Beach,0720 330 735
nyanza,Yala,",Kenya","Yala, Kenya",Shechinah Yala,"Next to Yala Level 4 Hospital,Along Busia-Kisumu rd",0722 420 605
rift valley,Nyahururu,",Kenya","Nyahururu, Kenya","M-KOPA,Mwarabu Technologies-Nyahururu.","Nyahururu Town, opposite Catholic church and Aga khan Hospital,Laikipia Confort hotel",0702 164 109
rift valley,Kitale,",Kenya","Kitale, Kenya","M-KOPA, Kapkoi",Situated at Kapkoi Main Stage Mega D. Building Kapkoi Centre along Kitale-Kolongolo-Wndebess Road next to Ebenezer Collections,0702 164 138
rift valley,Nakuru,",Kenya","Nakuru, Kenya","M-KOPA, Litein Samoget Enterprises","Litein shopping center along Kericho highway,Next to Point hotel.Opposite Koiwa stage.",0702 163 649
rift valley,Eldoret,",Kenya","Eldoret, Kenya","M-KOPA,Burnt Forest London Fishion Centre","Burn forest,along Eldoret-Nakuru highway,at London Fashion Center Next to Tarakwa Inn Guest House",0724 021 500
rift valley,Kipkaren,",Kenya","Kipkaren, Kenya","M-KOPA, Kipkaren Hudson Associates","Kipkaren Center, along Eldoret-Webuye road opposite Kipkaren stage",0710 919 886
rift valley,Nakuru,",Kenya","Nakuru, Kenya","M-KOPA,Pentagon Communications",Located at Lolgorian town opposite legacy hotel.,0710 919 711
rift valley,Eldoret,",Kenya","Eldoret, Kenya","M-KOPA ,Serem Shirlycom Company Ltd",Along Shamakhokho Kisumu road serem market,0710 918 620
rift valley,Nakuru,",Kenya","Nakuru, Kenya","M-KOPA ,Maralal Mega Kinyozi & M-Pesa","Maralal,along hospital road on your way to equity bank.Its opposite Kuria Fashions Wear next to nyambene Franchised retail wines and spirits.",0708 086 590
rift valley,Kitale,",Kenya","Kitale, Kenya","M-KOPA, Kiminini - Faben Enterprises",Along Kiminini Kitale Road at Kiminini Main Stage next to Natembeya Chemist and opposite Kananachi Super Market.,0710 918 802
rift valley,Kitale,",Kenya","Kitale, Kenya","M-KOPA, Chebororwa Nestpark Capital M-Pesa",Chebororwa Center at Kap'ongoi Building,0710 919 274
rift valley,Naivasha,",Kenya","Naivasha, Kenya","M-KOPA, Unimax Naivasha","Naivasha town,Kariuki Chotara Rd Gate way building next to Elementaita Chemist , along Naivas Ndogo supermarket.",0703 914 855
rift valley,Eldoret,",Kenya","Eldoret, Kenya","M-KOPA, Eldoret Ziwa Segero Varieties",Ziwa Center opposite stage from Ziwa to Eldoret.,0710 918 784
rift valley,Moi's bridge,",Kenya","Moi's bridge, Kenya","M-KOPA, Moi's Bridge-Phoneart",Moi's Bridge-Kitale Highway Next to OilLibya.,0708 086 593
rift valley,Kericho,",Kenya","Kericho, Kenya","M-KOPA, Kericho - Pb lint enterprises bookshop",Tengalane Opposite Kenya Women.,0708 086 594
rift valley,Nakuru,",Kenya","Nakuru, Kenya","M-KOPA, Katimok","Nakuru biashara centre, Mburu Gichua Road.",0708 086 587
rift valley,Olenguruoni,",Kenya","Olenguruoni, Kenya","M-KOPA, Chep chep farmers centre",Olenguruone-Along Molo Olenguruone Road next to Olives petrol station Olenguruone stage,0708 086 598
rift valley,Bomet,",Kenya","Bomet, Kenya","M-KOPA, Ramak enterprise",Kipchamba street next to ishika wholesalers opposite Co-op bank off Kaplong Narok Highway,0708 086 578
rift valley,"Endebess, Kitale",",Kenya","Endebess, Kitale, Kenya","M-KOPA, Endebess","Opposite kenya Posta on Mazau Bora Plaza, Kencer Electrical",0708 086 532
rift valley,Kachibora,",Kenya","Kachibora, Kenya","M-KOPA, Kachibora",Kachibora centre directly opposite Main stage to Kitale,0708 086 579
rift valley,Iten,",Kenya","Iten, Kenya","M-KOPA, Iten mobile world limited.",Behind Oilibya Petrol Station,0708 086 615
rift valley,Eldoret,",Kenya","Eldoret, Kenya","M-KOPA, Eldoret - M-Kopa Office",On 64 Arcade ground floor.,0708 086 589
rift valley,Kapsowar,",Kenya","Kapsowar, Kenya","M-KOPA, Kapsowar - Emoigaa stores","Kapsowar town, at Coca Cola depot.",0708 086 572
rift valley,Kabarnet,",Kenya","Kabarnet, Kenya","M-KOPA, Amani shop",Behind Tophill Petrolium opposite Garissa Hotel next to Trans National bank.,0708 086 588
rift valley,Kapenguria,",Kenya","Kapenguria, Kenya","M-KOPA, Makutano",OilLibya next to Equity agent,0708 086 603
rift valley,Kitale town,",Kenya","Kitale town, Kenya","M-KOPA, Kitale - Fargo (suam fancy)",Along Kenyatta street directly opposite K-rep Bank.,0708 086 584
rift valley,Kapsabet,",Kenya","Kapsabet, Kenya","M-KOPA, Kapsabet - kentoo computers",Between Wells Fargo and G4S.,0708 086 620
rift valley,Narok,",Kenya","Narok, Kenya","M-KOPA, Narok - Nalepo enterprises",Narok town opposite Naivas suppermarket on Mau Summit lodge building.-Kumi kumi stage.,0708 086 595
rift valley,Amakuriat Alale,",Kenya","Amakuriat Alale, Kenya",Post Bank Ltd,"Kapenguria - Uganda Road, Next To DO's Offices",0722 300 200
rift valley,Bartolimo,",Kenya","Bartolimo, Kenya",Lotwala Mpesa,Along Kabarnet- Kipsaram Road,0722 605 378
rift valley,Big Tree Centre,",Kenya","Big Tree Centre, Kenya",Pearl Communication Big tree,"Along Kitale-Ndalu road,Opposite Big tree Primary,Next to Wema shop",0722 760 082
rift valley,Biretwo,",Kenya","Biretwo, Kenya",Goyzpay Farm Inputs,Along Iten-Kabarnet Road (Equity Agent),0720 695 534
rift valley,Biretwo,",Kenya","Biretwo, Kenya",Kapkomol Shop,Biretwo Shopping Centre At The Posho Mill,0721 663 663
rift valley,Bomet,",Kenya","Bomet, Kenya",Centrium Communication/Extranet System - Bomet,Next To Stage Entrance,0725 302 678
rift valley,Bomet,",Kenya","Bomet, Kenya",Centriumbomet,Next To Stage Entrance,0727 339 393
rift valley,Bomet,",Kenya","Bomet, Kenya",Murenju General Stores,Bomet Town Opposite Sotin Autospares Next Tana Supermarket,0727 375 160
rift valley,Bomet,",Kenya","Bomet, Kenya",Anoland Global Network Ltd,Koma Plaza Opposite Bomet KWFT Office,0722 139 220
rift valley,Burnt Forest,",Kenya","Burnt Forest, Kenya",London Fashions,Opposite Main Stage,0722 235 163
rift valley,Chebari,",Kenya","Chebari, Kenya",Milele Salon,Chebara Centre Along Iten - Kapsowar Road,0728 935 531
rift valley,Chebareria,",Kenya","Chebareria, Kenya",Mama Watoto Chemist,"Along Kitale-Lodwar Road,Opposite Ninya Studio",0713 403 389
rift valley,Chebunyo,",Kenya","Chebunyo, Kenya",Tumaini Traders Chebunyo,Next To The Transformer,0729 385 888
rift valley,Chemaner,",Kenya","Chemaner, Kenya",Anoland Global Network,Off Longisa - Bomet Highway Turn Off At Longisa,0729 151 102
rift valley,Chemiet,",Kenya","Chemiet, Kenya",Chemyet Shop,"Off furfaral Centre,At Chemiet centre,Along Eldoret-Ziwa road",0715 159 597
rift valley,Chepareria,",Kenya","Chepareria, Kenya",Muruny Stores,"Along Lodwar-Kitale Highway,Chepareria Shopping Centre",0728 036 751
rift valley,Chepsonoi,",Kenya","Chepsonoi, Kenya",News Wings Club,Near Safaricom Booster At Chepsonoi Shopping Centre,0722 229 053
rift valley,Cheptais,",Kenya","Cheptais, Kenya",Yatmack Computer Services and Photocopy Centre,"Lwakhakha Road,Opposite cheptais post office",0726 762 333
rift valley,Chetseon,",Kenya","Chetseon, Kenya",Bentoks Communication,"Chetseon Shopping Centre, Next Falcon General Shop Along Kericho-Nakuru Highway",0720 009 696
rift valley,Chwele,",Kenya","Chwele, Kenya",Pama Electrical and Electronics,"Bungoma-Kitale-Lwakhakha Junction,Opposite Winners Chapel International",0723 346 980
rift valley,Eldama Ravine,",Kenya","Eldama Ravine, Kenya",G & M Merchants,Near Timboroa Police Station,0714 319 798
rift valley,Eldama Ravine,",Kenya","Eldama Ravine, Kenya",Badic K Ltd,"Along Torongo Road, Opposite Olpat Supermarket",0721 420 595
rift valley,Eldama Ravine,",Kenya","Eldama Ravine, Kenya",Kahoya General Shop,"Along Nakuru - Eldoret Highway, Khaoya Shopping Centre",0712 080 214
rift valley,Eldoret,",Kenya","Eldoret, Kenya",Tajan Investment,"Senior Road, At Road Block On Eldoret Pipeline Road",0729 669 633
rift valley,Eldoret,",Kenya","Eldoret, Kenya",Phoenix Traders Brigadier,"Brigadier shopping center,Off Eldoret Kitale rd off Matunda Junction,Along Misikhu rd,After St Paul Narati Sec Sch",0723 306 529
rift valley,Eldoret,",Kenya","Eldoret, Kenya",Happy Go,Near Easy Coach Booking Office,0770 652 664
rift valley,Eldoret,",Kenya","Eldoret, Kenya",Longonot Shop,Along Kipkorgot - Kiptagat Road,0723 177 352
rift valley,Eldoret,",Kenya","Eldoret, Kenya",Trilet Communication,Near Saito Centre Opposite Eldo Supermarket Eldoret,0721 454 153
rift valley,Eldoret,",Kenya","Eldoret, Kenya",Safaricom Retail Centre,Along Oginga Odinga Road,0707 823 378
rift valley,Eldoret,",Kenya","Eldoret, Kenya",Chemal Investments,Next To Chemalal Primary School,0720 532 729
rift valley,Eldoret,",Kenya","Eldoret, Kenya",Phone-Art Solutions,64 Arcade Opposite Oloo Street,0723 844 111
rift valley,Eldoret,",Kenya","Eldoret, Kenya",George Com Enterprises,"Bargetuny Plaza, Opposite Zion Mall",0722 959 973
rift valley,Eldoret,",Kenya","Eldoret, Kenya",Chrisswill Agencies Maili Nne,Maili Nne Centre,0722 791 417
rift valley,Eldoret,",Kenya","Eldoret, Kenya",Maisha Masilahi Communications,Mobile Shop(moves around in a vehicle),0728 222 293
rift valley,Gilgil,",Kenya","Gilgil, Kenya",Makicom Gilgil,"Along Cross road,Opposite Nyahururu junction Total petrol station",0722 394 870
rift valley,Hilltee,",Kenya","Hilltee, Kenya",Kawa Shop,"Along Nakuru-Eldoret Highway, Hilltee Shopping Centre",0711 395 188
rift valley,Himaki,",Kenya","Himaki, Kenya",Tuiyobei General Supermarket,Along Kapasabet - Lessos Junction before Nandi Hills Near Baraka Shop,0712 075 496
rift valley,Iten,",Kenya","Iten, Kenya",Kobcom Petroleum,"Oil Libya Petrol Station, Iten",0722 591 623
rift valley,Jua Kali,",Kenya","Jua Kali, Kenya",Happy Go,Shopping Center,0770 652 677
rift valley,Kabarnet,",Kenya","Kabarnet, Kenya",High Tech Shop,Opposite Equity Bank,0706 077 220
rift valley,Kabarnet,",Kenya","Kabarnet, Kenya",Unit Source enterprise,Kabanet Shopping Near Tobil Petrol Station.,0722 244 410
rift valley,Kabarnet,",Kenya","Kabarnet, Kenya",K.M. Mobilecare,Opposite Garissa Hotel,0722 255 520
rift valley,Kabarnet,",Kenya","Kabarnet, Kenya",Dynamic Solutions,KCB Building,0724 364 818
rift valley,Kablamai,",Kenya","Kablamai, Kenya",Grandrabannah Enterprise,"Kablamai Center,Opposite chief's office",0722 909 070
rift valley,Kachibora,",Kenya","Kachibora, Kenya",Smart Auto Spares Kachibora,"Along Eldoret-Kitale highway, Kachibora Market Opposite Trans Nzoia Teachers Sacco",0715 528 193
rift valley,Kaimosi,",Kenya","Kaimosi, Kenya",Sonic Electronics,Cheptulu centre along the market,0726 146 103
rift valley,Kainuk,",Kenya","Kainuk, Kenya",Prince Of Peace Hotel,"Along Kapenguria - Lodwar Road,Opposite Imara Fair Price",0716 595 111
rift valley,Kakuma,",Kenya","Kakuma, Kenya",Mount Pelekech Hardware,Lodwar - Lokichogio Highway,0725 126 612
rift valley,Kalemngorok,",Kenya","Kalemngorok, Kenya",Neddys Cooperation,"Along Kitale - Lodwar Road, Opposite Travels Classic Hotel",0728 407 366
rift valley,Kamukuywa,",Kenya","Kamukuywa, Kenya",Spectra Fashions,Junction Kimilili -Webuye Road Near Wapi 2 Petrol Station,0711 205 775
rift valley,Kampi ya Samaki,",Kenya","Kampi ya Samaki, Kenya",Ngeyin Shop,"Opposite Kasidoi Shop, Kampi ya Samaki Centre",0715 885 934
rift valley,Kapenguria,",Kenya","Kapenguria, Kenya",Galilaya Wholesalers(Fashion Shop),"Along Kitale - Lodwar Road, Next to Sunshine General Shop",0728 562 435
rift valley,Kapenguria,",Kenya","Kapenguria, Kenya",Height Communication Kapenguria,Kilimanjaro Building,0713 849 559
rift valley,Kapenguria,",Kenya","Kapenguria, Kenya",Wangila Prof. Tailors,"Makutano Shopping Centre, KCB Street Next To Lokita Plaza",0721 118 337
rift valley,"Kapenguria,",",Kenya","Kapenguria,, Kenya",Baraka Shoe Distributors,"Along Lotodo Street, Opposite Lelan Supermarket",0727 916 114
rift valley,Kapenguria,",Kenya","Kapenguria, Kenya",Pride Rock Developers M-Pesa,"Along Kitale - Lodwar Highway, Ortum Shopping Centre",0726 427 605
rift valley,Kapenguria,",Kenya","Kapenguria, Kenya",Frankom Integrated West Pokot,"Makutano Shopping Centre, Next To KCB Bank",0723 923 670
rift valley,Kapenguria,",Kenya","Kapenguria, Kenya",Joyland Phone & Accessories,"Makutano Shopping Centre, Opposite Rafiki Hotel",0729 069 196
rift valley,Kapenguria,",Kenya","Kapenguria, Kenya",Toror Pharmacy,"Along Makutano-Kacheliba Road,Next to G4S Office",0725 684 401
rift valley,Kapkwen,",Kenya","Kapkwen, Kenya",Anoland Global Network Kapkwen,Kapkwen Centre Next To Kericho/Kaplong Stage,0711 580 314
rift valley,Kapcherop,",Kenya","Kapcherop, Kenya",Salgaa Agrovet,Along Kachibora - Kapcherop Road,0727 700 293
rift valley,Kapcherop,",Kenya","Kapcherop, Kenya",Washindi M-PESA,At Kapcherop Shopping Centre,0721 102 109
rift valley,Kapchorwa,",Kenya","Kapchorwa, Kenya",Caroline Boutique,Kapchorwa Trading Center,0710 889 119
rift valley,Kapsabet,",Kenya","Kapsabet, Kenya",Happy Go,Main Stage,0770 652 650
rift valley,Kapsabet,",Kenya","Kapsabet, Kenya",Corner Shop Kapsabet,Oppossite Naivas Supermarket,0720 905 584
rift valley,Kapsabet,",Kenya","Kapsabet, Kenya",Kentoo Computers,Near Family Bank,0725 232 886
rift valley,Kapsara,",Kenya","Kapsara, Kenya",Midland M-Pesa Kapsara,"Commercial Bank Agent, Kapsara Shopping center",0722 761 349
rift valley,Kapsokwony,",Kenya","Kapsokwony, Kenya",Shalom Communication Centre,At The Stage Opposite Posta,0700 049 550
rift valley,Kaplong,",Kenya","Kaplong, Kenya",Betmak Electricals,"Along Kericho - Sotik/Kisii Highway, Kaplong Shopping Centre",0724 641 040
rift valley,Kapkatet,",Kenya","Kapkatet, Kenya",Chamtany Dealers Kapkatet,"Kapkatet Town Along Kericho Sotik Highway, Next to Sotik Stage",0717 509 775
rift valley,Kaptumo,",Kenya","Kaptumo, Kenya",Kapkolei Cool Collection,Kaptumo Market Near Kaptumo Post Office,0726 266 060
rift valley,Kericho,",Kenya","Kericho, Kenya",WiseCost Electrical,Along Uhuru Road Opposite Uhuru Garden,0722 598 993
rift valley,Kericho,",Kenya","Kericho, Kenya",Safaricom Retail Centre,"CC Bus, Moi Gardens, Opposite KCB Bank",0727 163 072
rift valley,Kericho,",Kenya","Kericho, Kenya",Copymax Olive,"Directly Opposite Police Station, Next To Shell Petrol Station",0721 354 294
rift valley,Kericho,",Kenya","Kericho, Kenya",Max Shop. Duka Moja -Kericho,"Along kericho-Brook Highway,Duka moja,Next to Posho mill",0715 982 521
rift valley,Kericho,",Kenya","Kericho, Kenya",Genesis Communication,"Tendecha lane, Opposite Shell Petrol Station/GK Prison Amalo Building",0700 919 601
rift valley,Kericho,",Kenya","Kericho, Kenya",Embassy Enterprise Electrical Limited,Kenyatta Road,0722 794 351
rift valley,Kesses,",Kenya","Kesses, Kenya",Diplomatic Shop,Kesses Bus Stage,0720 545 260
rift valley,Kibingor,",Kenya","Kibingor, Kenya",Baigaa Hotel,"Kibingor Center, Along Kabarnet Marigat Road",0729 281 993
rift valley,Kilgoris,",Kenya","Kilgoris, Kenya",Kilsnet Communication,Next To Jifa Oli Petrol Station,0722 669 574
rift valley,Kimilili,",Kenya","Kimilili, Kenya",Betiit Boutique & Electricals,"Kaptama Shopping Centre, Opposite Ngeyo Butaki Memorial Building",0705 324 707
rift valley,Kimilili,",Kenya","Kimilili, Kenya",Weko General Shop,"Along Kimilili-Bokoli bungoma road,Opposite Club Etonya",0725 129 033
rift valley,Kimilili,",Kenya","Kimilili, Kenya",Kimilili Electricals,Along Kimilili Bungoma Road Opposite Savannah Enterprises,0726 996 503
