"","WARD","COUNTY","STATUS","TYPE"
"3201","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3202","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3203","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3204","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3205","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3206","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3207","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3208","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3209","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3210","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3211","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3212","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3213","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3214","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3215","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3216","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3217","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3218","KIRU","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3219","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3220","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3221","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3222","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3223","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3224","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3225","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3226","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3227","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3228","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3229","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3230","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3231","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3232","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3233","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3234","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3235","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3236","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3237","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3238","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3239","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3240","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3241","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3242","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3243","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3244","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3245","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3246","GITUGI","MURANGA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3247","GITUGI","MURANGA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3248","GITUGI","MURANGA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3249","GITUGI","MURANGA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3250","GITUGI","MURANGA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3251","GITUGI","MURANGA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3252","GITUGI","MURANGA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3253","GITUGI","MURANGA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3257","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3258","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3259","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3260","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3261","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3262","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3263","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3264","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3265","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3266","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3267","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3268","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3269","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3270","GETA","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3271","GITHIORO","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3272","GITHIORO","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3273","GITHIORO","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3274","GITHIORO","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3275","GITHIORO","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3276","GITHIORO","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3277","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3278","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3279","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3280","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3281","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3282","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3283","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3284","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3285","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3286","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3287","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3288","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3289","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3290","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3291","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3292","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3293","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3294","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3295","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3296","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3297","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3298","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3299","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3300","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3301","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3302","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3303","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3304","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3305","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3306","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3307","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3308","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3309","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3310","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3311","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3312","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3313","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3314","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3315","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3316","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3317","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3318","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3319","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3320","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3321","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3322","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3323","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3324","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3325","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3326","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3327","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3328","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3329","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3330","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3331","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3332","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3333","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3334","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3335","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3336","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3337","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3338","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3339","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3340","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3341","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3342","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3343","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3344","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3345","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3346","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3347","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3348","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3349","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3350","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3351","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3352","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3353","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3354","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3355","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3356","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3357","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3358","WANJOHI","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3359","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3360","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3361","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3362","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3363","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3364","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3365","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3366","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3367","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3368","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3369","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3370","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3371","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3372","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3373","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3374","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3375","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3376","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3377","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3378","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3379","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3380","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3381","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3382","WANJOHI","NYANDARUA COUNTY","UNELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3386","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3387","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3388","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3389","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3390","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3391","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3392","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3393","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3394","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3395","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3396","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3397","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3398","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3399","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3400","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3401","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3402","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3403","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3404","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3405","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3406","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3407","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3408","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3409","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3410","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3411","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3412","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3413","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3414","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3415","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3416","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3417","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3418","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3419","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3420","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3421","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3422","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3423","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3424","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3425","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3426","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3427","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3428","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3429","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3430","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3431","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3432","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3433","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3434","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3435","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3436","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3437","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3438","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3439","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3440","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3441","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3442","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
"3443","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","HEALTH CENTRES"
"3444","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","TRADING CENTRES"
"3445","MURUNGARU","NYANDARUA COUNTY","ELECTRIFIED PUBLIC FACILITIES","SEC SCHOOLS/POLY"
